ANGELEGT_AM,TATZEIT_ANFANG_DATUM,TATZEIT_ANFANG_STUNDE,TATZEIT_ENDE_DATUM,TATZEIT_ENDE_STUNDE,LOR,SCHADENSHOEHE,VERSUCH,ART_DES_FAHRRADS,DELIKT,ERFASSUNGSGRUND
14.01.2024,13.01.2024,17,14.01.2024,11,07300515,110,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
14.01.2024,13.01.2024,16,14.01.2024,12,08100416,999,Nein,Damenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
14.01.2024,14.01.2024,15,14.01.2024,20,02500830,399,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
14.01.2024,13.01.2024,20,14.01.2024,00,06300634,2250,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
14.01.2024,11.01.2024,17,14.01.2024,13,07200414,3269,Nein,Damenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
14.01.2024,11.01.2024,17,14.01.2024,15,04400830,4000,Nein,diverse Fahrräder,Keller- und Bodeneinbruch,Sonstiger schwerer Diebstahl in/aus Keller/Boden von Fahrrädern
14.01.2024,12.01.2024,07,12.01.2024,16,04500939,837,Nein,Damenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
14.01.2024,06.01.2024,10,06.01.2024,23,04501041,1081,Nein,Fahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
14.01.2024,13.01.2024,11,14.01.2024,08,08200623,794,Nein,Damenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
14.01.2024,13.01.2024,17,14.01.2024,11,07200307,2038,Nein,Damenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
14.01.2024,13.01.2024,18,14.01.2024,12,02400624,1829,Nein,Fahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
14.01.2024,13.01.2024,21,14.01.2024,00,06100103,1200,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
14.01.2024,13.01.2024,20,13.01.2024,20,07200307,850,Nein,Fahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
14.01.2024,27.11.2023,12,27.11.2023,12,01200626,0,Nein,Mountainbike,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
14.01.2024,12.01.2024,12,13.01.2024,18,01100313,1000,Nein,Damenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
14.01.2024,13.01.2024,18,14.01.2024,14,02500835,598,Nein,Fahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
14.01.2024,11.01.2024,20,12.01.2024,08,04200310,1459,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
14.01.2024,13.01.2024,17,13.01.2024,18,06100102,1495,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
14.01.2024,06.01.2024,00,07.01.2024,13,02500728,1800,Nein,Mountainbike,Keller- und Bodeneinbruch,Sonstiger schwerer Diebstahl in/aus Keller/Boden von Fahrrädern
14.01.2024,13.01.2024,19,14.01.2024,08,01100309,550,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
14.01.2024,14.01.2024,20,14.01.2024,20,01100312,1000,Nein,Fahrrad,Fahrraddiebstahl,Einfacher Diebstahl von Fahrrädern
